iter	Passed	Remaining
368	3923	6710
369	3934	6699
370	3944	6686
371	3953	6674
372	3963	6662
373	3972	6648
374	3981	6636
375	3991	6623
376	4000	6611
377	4011	6600
378	4020	6587
379	4029	6575
380	4039	6562
381	4048	6549
382	4057	6536
383	4066	6523
384	4076	6512
385	4089	6504
386	4100	6495
387	4111	6485
388	4122	6475
389	4132	6464
390	4142	6452
391	4152	6439
392	4161	6427
393	4171	6416
394	4180	6403
395	4190	6390
396	4199	6378
397	4209	6366
398	4218	6354
399	4228	6342
400	4238	6330
401	4247	6317
402	4256	6305
403	4265	6292
404	4275	6281
405	4287	6273
406	4299	6264
407	4310	6254
408	4320	6242
409	4329	6230
410	4339	6219
411	4349	6206
412	4358	6195
413	4368	6183
414	4378	6171
415	4387	6159
416	4397	6147
417	4406	6135
418	4415	6123
419	4425	6110
420	4435	6100
421	4444	6088
422	4455	6077
423	4464	6064
424	4473	6052
425	4490	6050
426	4501	6040
427	4513	6032
428	4529	6029
429	4545	6026
430	4561	6022
431	4576	6017
432	4590	6011
433	4609	6011
434	4625	6007
435	4641	6004
436	4656	5999
437	4671	5994
438	4691	5995
439	4705	5988
440	4717	5980
441	4729	5970
442	4745	5966
443	4759	5959
444	4770	5949
445	4781	5939
446	4791	5928
447	4801	5915
448	4810	5903
449	4820	5891
450	4829	5878
451	4839	5867
452	4848	5855
453	4858	5842
454	4868	5831
455	4877	5818
456	4892	5813
457	4904	5804
458	4915	5793
459	4925	5781
460	4936	5771
461	4946	5759
462	4955	5747
463	4964	5734
464	4974	5723
465	4984	5711
466	4993	5699
467	5003	5687
468	5015	5677
469	5027	5669
470	5041	5661
471	5054	5654
472	5068	5647
473	5082	5639
474	5100	5637
475	5114	5630
476	5124	5619
477	5135	5608
478	5148	5600
479	5163	5594
480	5180	5589
481	5196	5584
482	5211	5578
483	5221	5567
484	5235	5559
485	5252	5555
486	5264	5545
487	5276	5535
488	5288	5526
489	5300	5516
490	5311	5505
491	5325	5498
492	5335	5487
493	5346	5476
494	5355	5464
495	5365	5451
496	5374	5439
497	5384	5427
498	5393	5415
499	5402	5402
500	5412	5390
501	5422	5379
502	5432	5367
503	5441	5355
504	5452	5344
505	5461	5332
506	5470	5319
507	5486	5313
508	5497	5302
509	5509	5293
510	5518	5281
511	5528	5269
512	5538	5257
513	5548	5246
514	5558	5234
515	5568	5222
516	5577	5210
517	5587	5199
518	5598	5188
519	5608	5176
520	5618	5165
521	5628	5154
522	5638	5142
523	5648	5131
524	5658	5119
525	5667	5107
526	5676	5095
527	5689	5086
528	5700	5075
529	5711	5064
530	5721	5053
531	5731	5042
532	5740	5030
533	5750	5018
534	5760	5006
535	5769	4994
536	5778	4982
537	5788	4970
538	5797	4958
539	5807	4946
540	5816	4935
541	5826	4923
542	5836	4912
543	5846	4900
544	5859	4891
545	5873	4883
546	5887	4876
547	5899	4865
548	5910	4855
549	5924	4847
550	5937	4838
551	5951	4830
552	5966	4823
553	5982	4816
554	5998	4809
555	6011	4800
556	6029	4795
557	6045	4788
558	6063	4783
559	6077	4774
560	6095	4770
561	6111	4763
562	6123	4752
563	6134	4742
564	6150	4735
565	6163	4725
566	6176	4716
567	6189	4707
568	6201	4697
569	6213	4687
570	6225	4677
571	6236	4666
572	6247	4655
573	6259	4645
574	6270	4634
575	6284	4626
576	6296	4615
577	6307	4605
578	6318	4594
579	6327	4582
580	6341	4573
581	6350	4561
582	6360	4549
583	6369	4537
584	6379	4525
585	6389	4514
586	6398	4502
587	6408	4490
588	6418	4479
589	6428	4467
590	6438	4455
591	6448	4444
592	6458	4432
593	6468	4421
594	6481	4412
595	6493	4401
596	6505	4391
597	6514	4379
598	6524	4368
599	6535	4356
600	6546	4346
601	6557	4335
602	6569	4324
603	6579	4313
604	6588	4301
605	6598	4289
606	6607	4278
607	6617	4266
608	6626	4254
609	6636	4242
610	6646	4231
611	6656	4219
612	6668	4210
613	6682	4200
614	6692	4189
615	6702	4178
616	6712	4166
617	6721	4154
618	6731	4143
619	6741	4131
620	6750	4119
621	6760	4108
622	6769	4096
623	6779	4085
624	6789	4073
625	6798	4061
626	6807	4049
627	6817	4038
628	6826	4026
629	6836	4014
630	6845	4003
631	6855	3991
632	6867	3981
633	6883	3973
634	6893	3962
635	6904	3951
636	6914	3940
637	6924	3928
638	6934	3917
639	6943	3905
640	6953	3894
641	6962	3882
642	6972	3870
643	6981	3859
644	6992	3848
645	7000	3836
646	7010	3824
647	7020	3813
648	7029	3801
649	7040	3790
650	7050	3779
651	7060	3768
652	7072	3758
653	7085	3748
654	7096	3737
655	7106	3726
656	7117	3715
657	7126	3704
658	7136	3692
659	7146	3681
660	7155	3669
661	7164	3658
662	7173	3646
663	7183	3634
664	7192	3623
665	7202	3611
666	7211	3600
667	7221	3589
668	7230	3577
669	7240	3566
670	7250	3555
671	7263	3545
672	7275	3534
673	7286	3524
674	7296	3513
675	7306	3501
676	7315	3490
677	7324	3478
678	7334	3467
679	7343	3455
680	7353	3444
681	7364	3433
682	7374	3422
683	7382	3410
684	7392	3399
685	7401	3388
686	7411	3376
687	7420	3365
688	7430	3354
689	7440	3342
690	7454	3333
691	7465	3322
692	7476	3312
693	7486	3300
694	7495	3289
695	7505	3278
696	7515	3267
697	7525	3256
698	7536	3245
699	7545	3233
700	7555	3222
701	7565	3211
702	7575	3200
703	7584	3188
704	7594	3177
705	7604	3166
706	7614	3155
707	7624	3144
708	7633	3133
709	7646	3123
710	7660	3113
711	7669	3102
712	7680	3091
713	7690	3080
714	7700	3069
715	7709	3057
716	7719	3046
717	7728	3035
718	7737	3024
719	7747	3013
720	7757	3001
721	7766	2990
722	7776	2979
723	7785	2968
724	7795	2956
725	7805	2945
726	7814	2934
727	7824	2923
728	7833	2912
729	7847	2902
730	7858	2891
731	7869	2881
732	7880	2870
733	7890	2859
734	7899	2848
735	7909	2837
736	7918	2825
737	7928	2814
738	7937	2803
739	7947	2792
740	7956	2781
741	7966	2769
742	7975	2758
743	7984	2747
744	7994	2736
745	8003	2725
746	8015	2714
747	8025	2703
748	8038	2693
749	8051	2683
750	8061	2672
751	8071	2661
752	8081	2650
753	8091	2639
754	8101	2628
755	8110	2617
756	8120	2606
757	8129	2595
758	8139	2584
759	8148	2573
760	8158	2562
761	8167	2550
762	8176	2539
763	8185	2528
764	8195	2517
765	8204	2506
766	8213	2495
767	8225	2484
768	8238	2474
769	8250	2464
770	8259	2453
771	8268	2442
772	8278	2431
773	8288	2420
774	8297	2408
775	8307	2397
776	8316	2386
777	8326	2375
778	8336	2365
779	8346	2354
780	8356	2343
781	8365	2332
782	8375	2321
783	8384	2310
784	8394	2299
785	8404	2288
786	8414	2277
787	8428	2267
788	8442	2257
789	8453	2247
790	8463	2236
791	8473	2225
792	8482	2214
793	8492	2203
794	8503	2192
795	8514	2182
796	8524	2171
797	8534	2160
798	8544	2149
799	8553	2138
800	8564	2127
801	8573	2116
802	8583	2105
803	8593	2095
804	8603	2084
805	8613	2073
806	8625	2062
807	8641	2053
808	8652	2042
809	8663	2032
810	8673	2021
811	8682	2010
812	8691	1999
813	8701	1988
814	8711	1977
815	8720	1966
816	8730	1955
817	8740	1944
818	8749	1933
819	8759	1922
820	8768	1911
821	8777	1900
822	8787	1889
823	8797	1878
824	8806	1868
825	8815	1857
826	8829	1847
827	8842	1836
828	8854	1826
829	8863	1815
830	8873	1804
831	8882	1793
832	8892	1782
833	8902	1771
834	8912	1761
835	8921	1750
836	8930	1739
837	8940	1728
838	8950	1717
839	8960	1706
840	8969	1695
841	8978	1684
842	8988	1674
843	9003	1664
844	9012	1653
845	9025	1642
846	9036	1632
847	9046	1621
848	9056	1610
849	9066	1600
850	9076	1589
851	9085	1578
852	9095	1567
853	9104	1556
854	9113	1545
855	9123	1534
856	9133	1523
857	9143	1513
858	9153	1502
859	9163	1491
860	9175	1481
861	9187	1470
862	9204	1461
863	9217	1450
864	9231	1440
865	9249	1431
866	9262	1420
867	9274	1410
868	9296	1401
869	9309	1391
870	9324	1380
871	9338	1370
872	9352	1360
873	9370	1350
874	9385	1340
875	9401	1330
876	9416	1320
877	9432	1310
878	9448	1300
879	9463	1290
880	9475	1279
881	9486	1269
882	9498	1258
883	9509	1247
884	9518	1236
885	9528	1225
886	9537	1214
887	9546	1204
888	9555	1193
889	9565	1182
890	9575	1171
891	9584	1160
892	9594	1149
893	9603	1138
894	9613	1127
895	9625	1117
896	9637	1106
897	9648	1095
898	9658	1085
899	9668	1074
900	9678	1063
901	9689	1052
902	9700	1042
903	9716	1031
904	9729	1021
905	9744	1010
906	9758	1000
907	9772	990
908	9788	979
909	9801	969
910	9815	958
911	9837	949
912	9848	938
913	9860	927
914	9875	917
915	9886	906
916	9900	896
917	9916	885
918	9928	875
919	9938	864
920	9951	853
921	9960	842
922	9969	831
923	9983	821
924	9992	810
925	10001	799
926	10011	788
927	10020	777
928	10032	766
929	10045	756
930	10054	745
931	10066	734
932	10076	723
933	10086	712
934	10095	701
935	10104	690
936	10114	680
937	10124	669
938	10133	658
939	10142	647
940	10152	636
941	10161	625
942	10171	614
943	10181	603
944	10190	593
945	10200	582
946	10209	571
947	10222	560
948	10234	550
949	10245	539
950	10255	528
951	10265	517
952	10275	506
953	10284	495
954	10294	485
955	10305	474
956	10314	463
957	10324	452
958	10334	441
959	10343	430
960	10353	420
961	10363	409
962	10373	398
963	10382	387
964	10391	376
965	10401	366
966	10410	355
967	10423	344
968	10435	333
969	10446	323
970	10458	312
971	10469	301
972	10479	290
973	10489	280
974	10498	269
975	10508	258
976	10517	247
977	10526	236
978	10536	226
979	10546	215
980	10556	204
981	10565	193
982	10576	182
983	10589	172
984	10605	161
985	10620	150
986	10633	140
987	10646	129
988	10658	118
989	10676	107
990	10693	97
991	10708	86
992	10723	75
993	10738	64
994	10754	54
995	10769	43
996	10780	32
997	10791	21
998	10803	10
999	10813	0
